,Season,Episode,Character,Bad Word
0,10,1,Kyle,fatass
1,10,1,Cartman,jew
2,10,1,Chef,randy
3,10,1,Clyde,sex
4,10,1,Chef,sexual
5,10,1,Chef,balls
6,10,1,Chef,rectum
7,10,1,Chef,asshole
8,10,1,Kyle,goddammit
9,10,1,Chef,sodomize
10,10,1,Chef,black
11,10,1,Chef,ass
12,10,1,Chef,asshole
13,10,1,Cartman,sex
14,10,1,Kyle,sex
15,10,1,Kyle,fatass
16,10,1,Cartman,jewish
17,10,1,Cartman,boobs
18,10,1,Club Members,ho
19,10,1,Kyle,molest
20,10,1,Marksman,sex
21,10,1,Mr. Connolly,sex
22,10,1,Mr. Connolly,molest
23,10,1,Mr. Connolly,africa
24,10,1,Mr. Connolly,erect
25,10,1,Mr. Connolly,penis
26,10,1,Mr. Connolly,sex
27,10,1,Kyle,hell
28,10,1,Cartman,bitch
29,10,1,Chef,butt
30,10,1,Woman,god
31,10,1,Stan,sex
32,10,1,Stan,sex
33,10,1,Dr. Neeland,sex
34,10,1,Stan,sex
35,10,1,Cartman,bitch
36,10,1,Cartman,bitch
37,10,1,Chef,fire
38,10,1,Mr. Connolly,ho
39,10,1,Mr. Connolly,balls
40,10,1,Stan,jesus
41,10,1,Mr. Connolly,sex
42,10,1,Mr. Connolly,sex
43,10,1,Mr. Connolly,bugger
44,10,1,Mr. Connolly,sex
45,10,1,Mr. Connolly,adult
46,10,1,Mr. Connolly,sex
47,10,1,Mr. Connolly,adult
48,10,1,Kyle,retarded
49,10,1,Mr. Connolly,retarded
50,10,1,Mr. Connolly,god
51,10,1,Mr. Connolly,die
52,10,1,Mr. Connolly,retarded
53,10,1,Stan,retarded
54,10,1,William,sex
55,10,1,Kyle,bullcrap
56,10,1,Kyle,lies
57,10,1,Chef,hell
58,10,1,Chef,dammit
59,10,1,Mr. Connolly,shoot
60,10,1,Stan,god
61,10,1,Stan,killed
62,10,1,Mr. Connolly,molester
63,10,1,Cartman,die
64,10,1,Cartman,crap
65,10,1,Kyle,mad
66,10,1,Kyle,mad
67,10,1,Darth Chef,suck
68,10,1,Darth Chef,balls
